Gene,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
rpoC,2779,7164,4503,2180,2444,3316,2845,2730,4780,3900,3477,3000,1735,1907,2248,3985,3339,3632,3401,2258,2764,4517,10.83,33.45,8.68,1.74,8.99,1.47,6.76,12.08,20.91,13.86,6.14,6.27,16.15,22.87,16.45,9.29
rpoB,3957,8888,5199,2661,3199,3999,3749,3714,5245,4388,3860,3455,2379,2227,3254,4923,4032,4437,4143,2820,3855,5269,7.44,25.11,8.28,2.75,8.53,1.24,14.42,11.18,17.48,10.51,5.93,4.27,13.51,19.75,13.60,7.77
acnB,7596,16600,17548,22844,19491,13753,10792,16395,15733,20261,16410,13763,933,756,2815,4842,4649,6697,16517,12875,19547,8782,2.22,4.57,4.97,3.10,5.24,0.93,3.93,10.04,16.60,9.57,4.47,21.78,3.16,2.07,4.21,3.25
purL,2456,821,2339,1438,2071,1959,2068,2708,2285,1730,1468,1219,618,735,1318,1885,1708,1721,1764,1570,1913,2406,4.74,4.28,8.93,4.43,9.08,3.30,7.01,4.02,12.97,11.38,1.78,7.88,1.22,7.69,2.96,6.20
gltB,2859,604,652,1363,1281,1977,2204,1691,2321,1959,1771,1379,230,183,834,2979,2723,2496,2079,1398,1553,3858,9.79,23.57,7.97,5.28,5.38,3.14,17.44,3.98,28.41,17.39,7.84,20.05,17.71,22.36,10.69,8.91
aceE,5815,11820,6671,2445,4521,4198,4067,15791,5884,5275,4409,4794,5279,5888,6283,6983,9459,10243,4905,3263,4739,9414,9.61,22.87,8.33,3.68,9.07,1.24,4.58,9.58,19.84,9.78,8.08,7.27,13.71,20.08,6.64,13.13
adhE,4851,5472,5634,4510,4007,7361,5186,3292,10354,7637,7837,8009,7038,6714,5216,9029,9015,8391,5977,6324,4052,19994,9.27,27.11,14.63,5.56,10.67,3.89,6.36,7.09,16.80,10.42,13.96,3.19,18.77,20.21,29.64,6.36
tufA,252452,443852,368888,149278,190256,173736,191041,187233,180819,142247,112618,102131,86996,88447,214484,250232,192346,216764,192017,140285,195883,233116,4.70,5.53,5.53,1.56,3.30,2.74,5.04,1.78,1.93,7.95,6.29,0.71,2.96,3.21,3.92,3.95
metE,51584,1711,1690,17413,19719,23978,28808,18643,27208,13268,8295,4243,3382,3563,30109,32362,25744,32790,26643,11660,19185,38848,1.66,2.46,3.61,4.33,3.17,2.59,1.71,12.89,11.51,13.13,5.26,1.05,5.26,16.24,14.80,3.17
groL,22739,65887,57319,19540,26422,23090,26358,22919,25954,23702,17811,16980,26509,25774,22879,65428,26821,26428,27239,15632,26639,24906,3.64,5.82,1.44,2.95,2.31,4.43,1.99,1.35,2.09,6.70,6.65,7.86,3.16,3.13,6.32,1.36
