!!SBtab	TableType='Gene'
!LocusTag	!Reaction:Identifiers:kegg.reaction
b4226	R00004
b3671	R00006
b0078	R00006
b0077	R00006
b3769	R00006
b3670	R00006
b1732	R00009
b3942	R00009
b1197	R00010
b3519	R00010
b0507	R00013
b0114	R00014
b3671	R00014
b0078	R00014
b0077	R00014
b3769	R00014
b3670	R00014
b3518	R00017
b1107	R00022
b2132	R00026
b0403	R00028
b0708	R00034
b0369	R00036
b1662	R00066
b1905	R00078
b3805	R00084
b0262	R00086
b1900	R00086
b3734	R00086
b3731	R00086
b3732	R00086
b3733	R00086
b1709	R00086
b2201	R00086
b0484	R00086
b2422	R00086
b4287	R00086
b0588	R00086
b0151	R00086
b1941	R00086
b2306	R00086
b0698	R00086
b0697	R00086
b0696	R00086
b4035	R00086
b2149	R00086
b4242	R00086
b0765	R00086
b1126	R00086
b2677	R00086
b3725	R00086
b3749	R00086
b2954	R00086
b3450	R00086
b3567	R00086
b2547	R00086
b3469	R00086
b3806	R00089
b3212	R00093
b3213	R00093
b3500	R00094
b3844	R00097
b3996	R00103
b2615	R00104
b1603	R00112
b1602	R00112
b3962	R00112
b3212	R00114
b3213	R00114
b3500	R00115
b2518	R00124
b0049	R00125
b0474	R00127
b0103	R00130
b0126	R00132
b0339	R00132
b0639	R00137
b2518	R00139
b1761	R00145
b1761	R00146
b0323	R00150
b0521	R00150
b2874	R00150
b2518	R00156
b0910	R00158
b0171	R00158
b0025	R00161
b1838	R00164
b2734	R00164
b2418	R00174
b1636	R00174
b2942	R00177
b0120	R00178
b1982	R00182
b2744	R00183
b0480	R00183
b2291	R00183
b4374	R00183
b1740	R00189
b0469	R00190
b0125	R00190
b0159	R00194
b2871	R00195
b3605	R00196
b1702	R00199
b1854	R00200
b1676	R00200
b1415	R00203
b0114	R00209
b0115	R00209
b0116	R00209
b0903	R00212
b3951	R00212
b3114	R00212
b0823	R00212
b1479	R00214
b1800	R00215
b2463	R00216
b1479	R00217
b2463	R00217
b3772	R00220
b1814	R00220
b2797	R00220
b3117	R00220
b4471	R00220
b2366	R00221
b2871	R00223
b3671	R00226
b0078	R00226
b0077	R00226
b3769	R00226
b3670	R00226
b1241	R00228
b0351	R00228
b2297	R00230
b4069	R00235
b4069	R00236
b2224	R00238
b2844	R00238
b0242	R00239
b1014	R00245
b1761	R00248
b3870	R00253
b0674	R00256
b0032	R00256
b0033	R00256
b0485	R00256
b1524	R00256
b2290	R00258
b2818	R00259
b3967	R00260
b3517	R00261
b1493	R00261
b1136	R00267
b1136	R00268
b1710	R00274
b3908	R00275
b1656	R00275
b1646	R00275
b1638	R00277
b1638	R00278
b1109	R00281
b2028	R00286
b0480	R00287
b2042	R00289
b1236	R00289
b0759	R00291
b2388	R00299
b1002	R00304
b2132	R00306
b3565	R00307
b0475	R00310
b2296	R00315
b3115	R00315
b4069	R00316
b0968	R00317
b4108	R00318
b2518	R00330
b2518	R00331
b3648	R00332
b3340	R00335
b3339	R00335
b3980	R00335
b3650	R00336
b3061	R00339
b3062	R00339
b3403	R00341
b3236	R00342
b3956	R00345
b0720	R00351
b0616	R00354
b0928	R00355
b2574	R00357
b2210	R00361
b0617	R00362
b0616	R00362
b0615	R00362
b3617	R00371
b0231	R00375
b0184	R00375
b0215	R00375
b0470	R00375
b0060	R00375
b0231	R00376
b0184	R00376
b0215	R00376
b0470	R00376
b0060	R00376
b0231	R00377
b0184	R00377
b0215	R00377
b0470	R00377
b0060	R00377
b0231	R00378
b0184	R00378
b0215	R00378
b0470	R00378
b0060	R00378
b0231	R00379
b0184	R00379
b0215	R00379
b0470	R00379
b0060	R00379
b1961	R00380
b2411	R00382
b3647	R00382
b1805	R00390
b3845	R00391
b2342	R00391
b2222	R00393
b2221	R00393
b4053	R00401
b1190	R00401
b0728	R00405
b0729	R00405
b4154	R00408
b4153	R00408
b0723	R00408
b0724	R00408
b0331	R00409
b1744	R00411
b4154	R00412
b4153	R00412
b0723	R00412
b0724	R00412
b3786	R00414
b3730	R00416
b0759	R00418
b3786	R00420
b2153	R00424
b1277	R00425
b2781	R00426
b2153	R00428
b2784	R00429
b1854	R00430
b1676	R00430
b3806	R00434
b0143	R00435
b3295	R00435
b3987	R00435
b3988	R00435
b3649	R00435
b3164	R00437
b3164	R00438
b3164	R00439
b3164	R00440
b3295	R00441
b3987	R00441
b3988	R00441
b3649	R00441
b3295	R00442
b3987	R00442
b3988	R00442
b3649	R00442
b3295	R00443
b3987	R00443
b3988	R00443
b3649	R00443
b3295	R00444
b3987	R00444
b3988	R00444
b3649	R00444
b2838	R00451
b4131	R00462
b0186	R00462
b1033	R00465
b0505	R00469
b1850	R00470
b1850	R00471
b4014	R00472
b2976	R00472
b2979	R00475
b4015	R00479
b4024	R00480
b3940	R00480
b0002	R00480
b2574	R00481
b3744	R00483
b0674	R00483
b1767	R00485
b2957	R00485
b3517	R00489
b1493	R00489
b0131	R00489
b4139	R00490
b3447	R00494
b2947	R00497
b2036	R00505
b2750	R00509
b2744	R00511
b0480	R00511
b2291	R00511
b4374	R00511
b0910	R00512
b2066	R00513
b2066	R00516
b2066	R00517
b1474	R00519
b1475	R00519
b1476	R00519
b3892	R00519
b1501	R00519
b0355	R00527
b2154	R00527
b2752	R00529
b2751	R00529
b0968	R00539
b4055	R00548
b0980	R00548
b0025	R00549
b4117	R00566
b2938	R00566
b2065	R00568
b2518	R00570
b2780	R00571
b1854	R00572
b1676	R00572
b2780	R00573
b0032	R00575
b0033	R00575
b0674	R00578
b4388	R00582
b3607	R00586
b1814	R00590
b2797	R00590
b4471	R00590
b3965	R00594
b2607	R00597
b2960	R00600
b1732	R00602
b3942	R00602
b2954	R00615
b0417	R00617
b0726	R00621
b1241	R00623
b1478	R00623
b0356	R00623
b3589	R00623
b1241	R00624
b1478	R00624
b0356	R00624
b3589	R00624
b4055	R00626
b0980	R00626
b0383	R00626
b0261	R00650
b2779	R00658
b1854	R00659
b1676	R00659
b3189	R00660
b2781	R00662
b3957	R00669
b2965	R00670
b0693	R00670
b3708	R00673
b1260	R00674
b1261	R00674
b2599	R00691
b0928	R00694
b2021	R00694
b4054	R00694
b3942	R00698
b2133	R00704
b1380	R00704
b1014	R00707
b1014	R00708
b2661	R00713
b2661	R00714
b2781	R00720
b2518	R00722
b1854	R00724
b1676	R00724
b0928	R00734
b2021	R00734
b4054	R00734
b0185	R00742
b3256	R00742
b2316	R00742
